,real,preds
24,what do you like to hunt? do you ever fish?,so you are a gun owner? i just got back from hunting and i shot a deer<|endoftext|>
25,fishing is good. i love fishing as well, fish? i also enjoy hunting fish<|endoftext|>
26,fishing is a better choice sometimes for my one leg,what do you do for work?<|endoftext|>
27,"yes that must be hard, i hope things get better for you",or my right arm if i am being honest<|endoftext|>
28,"i enjoy life, it is what it is these days.","arm chair bound myself, this chair is not helping<|endoftext|>"
29,"yes i agree. i try to enjoy life too, whenever i am not working",good for you as well.<|endoftext|>
30,"well, you better enjoying working so you can enjoy more of your time.",<|endoftext|>
31,yeah but i go to church every sunday so my weekends are usually booked,good luck to you<|endoftext|>
32,"hey, are you a student, i traveled a lot, i even studied abroad",<|endoftext|>
33,"no, i work full time at a nursing home. i am a nurses aide.","hi, i'm not a student but i'm very athletic.<|endoftext|>"
34,"nice, i just got a advertising job myself. do you like your job?","ah, okay. so you are a nurse? i also work in design for design jobs.<|endoftext|>"
35,nice. yes i do. caring for people is the joy of my life.,i love it. i also work with other nurses at the hospital.<|endoftext|>
36,"nice my best friend is a nurse, i knew him since kindergarten", what is your favorite thing about nursing?<|endoftext|>
37,very cool. do you have pets?,<|endoftext|>
38,"no i do not, do you?", four dogs and a cat. they are my furry friends.<|endoftext|>
39,yes. two dogs and a cat. they are my babies.,enty of pets. i've several animals.<|endoftext|>
40,"nice, where do you live? i resign in north dakota",what are your favorite countries?<|endoftext|>
41,i live in texas. i love riding my bike here., right now. but i also live in illinois.<|endoftext|>
42,are you a christian? i am jewish,"i love the cold, i've been there many times.<|endoftext|>"
43,yes i am. i have always been a christian.,what part of the bible do you believe?<|endoftext|>
44,i am jewish but i am not religious all that much,how long have you lived in texas?<|endoftext|>
45,oh really? so you do not go to church often?,<|endoftext|>
46,i mostly go to the mosque on my free time,how about the state?<|endoftext|>
47,i see. that is very cool. i enjoy hearing about other practices.,<|endoftext|>
48,hi want to get to know each other?,<|endoftext|>
49,yes we got to act quickly,"i am 20 years old, and i do not like being involved in politics.<|endoftext|>"
50,i am going for a horse ride tomorrow. do you like horses?,what is your best attribute? mine is my beard.<|endoftext|>
51,"i never have juice, just water.",how quickly do you ride? i ride them to deliver babies<|endoftext|>
52,is that hard for you? i love sugar,i am a vegan so i don't eat any animal products.<|endoftext|>
53,yes i do i work on the baby floor an i want no kids lol,sugar is a good thing. it is very easy to handle.<|endoftext|>
54,i am looking forward to retirement,what do you do for a living?<|endoftext|>
55,no it is easy especially being single an i like it,iky also. i heard it is good to be alone.<|endoftext|>
56,"well i have some heath issues, maybe i will try it",i am soft spoken like a horse<|endoftext|>
57,i do get it i do,care for a stranger?<|endoftext|>
58,will water help my circulation. i have an achy leg,i am a equestrian so i feel like i am in a bad relationship<|endoftext|>
59,yes get on it now,what is your job?<|endoftext|>
60,i will thank you for the advice,hello how are you today?<|endoftext|>
61,anytime are you okay now?,how old are you?<|endoftext|>
62,yeah. it does not hurt oo bad. i still ride,Yeah i am fine thanks for asking<|endoftext|>
63,do you where do you go?,good luck with the horse ride<|endoftext|>
64,hey there. how are you?,<|endoftext|>
65,"good, do you like animals?",hey! i'm good. what do you do for a living?<|endoftext|>
66,"yeah, i like cats. i have one.",my favorite animal is a dog.<|endoftext|>
67,"i have 2 dogs, they are great, where do you work?",do you have any pets?<|endoftext|>
68,i stay at home with the kids.,<|endoftext|>
69,are you afraid of heights? i certainly am,"oh, i'm a cherokee indian.<|endoftext|>"
70,no. do you like tv?,"Ben and jerry are my favorite, i would rather eat one thing if it were ben and jerrys.<|endoftext|>"
71,"sure i like tv, what do you watch?",my favorite show is how the wizard of oz came to be.<|endoftext|>
72,"really anything, what about you?",animals and horror shows<|endoftext|>
73,"i do not have time to watch tv, i am an attorney so i work alot",my favorite show is how the wizard of oz.<|endoftext|>
74,i am not a very active person.,<|endoftext|>
75,"i certainly am, i am part native american, i live here in oklahoma",what do you do for fun?<|endoftext|>
76,oh. tell me something about yourself.,<|endoftext|>
77,well i do not like heights very much and i love animals. what about you?,i love to travel. i have many friends here in other states.<|endoftext|>
78,i am a boring person.,<|endoftext|>
79,i am not much fun either. so what else is new with you?,well i think we all have something we are involved with.<|endoftext|>
80,hi how are you doing," cherokee, as in cherokee, as in carribean.<|endoftext|>"
81,i am well. how about you?," relaxing and listening to miles davis. okay, yourself?<|endoftext|>"
82,i am good getting ready for work,do you have any pets?<|endoftext|>
83,me too. what do you do for a living?,<|endoftext|>
84,i am a lawyer long hours,acrobatics is my hobby i am a cherokee<|endoftext|>
85,i get that! i am a doctor. pediatrics to be exact. do anything for fun?,<|endoftext|>
86,i like to go running with my dogs,my hobby is playing with my pets<|endoftext|>
87,"me too! well, i do not have any dogs, but i run everyday!",<|endoftext|>
88,its such a great way to exercise and spend time outside,do you like to hike?<|endoftext|>
89,"yes, it helps me clear my mind. i also love to read to escape reality sometimes too",<|endoftext|>
90,yeah! what state do you live in,acrophobia is a realobia<|endoftext|>
91,california. where do you live?,Delaware. it is a great state.<|endoftext|>
92,oklahoma nice and flat i do not like heights,DF you ever run outside?<|endoftext|>
93,lol. i am scared of heights too. do you like to listen to music?,"ding, oklahoma is not bad either<|endoftext|>"
94,yeah what are you listening to right now,i love music gospel music<|endoftext|>
95,jazz. i love the smooth tunes!, miles davis<|endoftext|>
96,"hi, do you have sons? i have two.",<|endoftext|>
97,a younger brother and no children is all. besides dad,"i do not have any kids, but i do have bro and dad.<|endoftext|>"
98,"i will be in a school of hairdresser, i also own a fish aquarium",what is your hobbies?<|endoftext|>
99,really. fish raw is my meal. what kind of fish?,good for you! i love fish.raw fish and rice is my favorite.<|endoftext|>
100,"i love exotic fish, you have a nice family.",small fish. smallmouth bass and walleye<|endoftext|>
101,my family is nice. we spend time at the weight room a lot,Sure do. i also love hip hop.<|endoftext|>
102,i love the 1950 era and the decorations of that era,<|endoftext|>
103,we work out to hip hop artists and i love the 1990 era,Iconic. i love hip hop music. do you like hiking?<|endoftext|>
104,it is a nice family event and healthy too,. i have a couple of progeny<|endoftext|>
105,yes it is. i cherish those moments.,Wrapped in a thin hoop hoop hoop hoop hoop<|endoftext|>
106,you are so much younger than me,good luck in the future. i want to be a beautician<|endoftext|>
107,am i how much younger? how old are you?,so is my youngest brother. he is thirty years old<|endoftext|>
108,i bet you do not eat granola in the morning,49 years old and i've a couple progeny<|endoftext|>
109,"no i do not. only fruit and coconut juice. also, water and supplements",what do you like to eat?<|endoftext|>
110,i eat that daily younger folks can not stand it,what else do you eat?<|endoftext|>
111,that is what is good for the body and spirit.,hey that's not healthy<|endoftext|>
112,my mom had me in mcdonald bathroom when she was 12,<|endoftext|>
113,that is really sad. do you have any siblings,donald? that's funny. what do you do for a living?<|endoftext|>
114,no. my uncle is the manager and took me home.,just me and my mom. i don't know my parents.<|endoftext|>
115,that was nice of him. i am almost done with college,how old are you? i am almost finished with school<|endoftext|>
116,he gave me a job at mcdonalds. i was considering college but i am good now.,what do you want to do after high school?<|endoftext|>
117,i am almost done i only have two years left in law school.,good for you! i almost reach my goal of being a lawyer<|endoftext|>
118,you be smart. i would like to do something different but i team leader now.,what do you do for fun?<|endoftext|>
119,that sounds important. maybe one day you will go back to school,what do you do now?<|endoftext|>
120,i dropped out to work. maybe you can help me sure my mom for abandoning me?, but right now i just feel unloved.<|endoftext|>
121,i do not know if we would be able to do anything because is has been so long,what happened to your mom?<|endoftext|>
122,oh i am only 15 right now. is that too old?,i don't know what to do when i'm not looking.<|endoftext|>
123,do not you have to be older than 15 to work at mcdonalds? that sounds illegal,15 is a big age.<|endoftext|>
124,nah i do homeschool. uncle figured out how to make me work and takes the money.,hey at 15 you are a adult.<|endoftext|>
125,that is horrible and verry illegal,how old are you<|endoftext|>
126,really? i am so glad i found you to help me.,hey canadian.<|endoftext|>
127,i would love to help. i am not able to practice yet though,hey thanks! it was nice talking to you.<|endoftext|>
128,"hi there, how are you tonight?",<|endoftext|>
129,"great, i just finished a huge steak how are you?","hello, i am fine. just got back from a long day of work, i am practicing my modeling.<|endoftext|>"
130,"i am good, drinking some scotch.",how was your steak? do you like to drink?<|endoftext|>
131,i am major meat eater to build muscles,i don't like meat but i would love to try vegetarian<|endoftext|>
132,"oh, i like meat ok.",how much do you weigh?<|endoftext|>
133,scotch goes good with meat,what do you do for a living?<|endoftext|>
134,scotch goes good with anything lol., and my favorite thing is to eat it while reading.<|endoftext|>
135,i have a brother who likes scotch,especially when you are modeling. i do all the time<|endoftext|>
136,i am an only child.,whats your favorite drink?<|endoftext|>
137,i have just the one brother and 3 sisters,how about your parents? my mom is a lawyer.<|endoftext|>
138,do you have any pets? i am scared of dogs.,what do you do for fun?<|endoftext|>
139,i have a cat and a dog you would not be scared of my dog,i do not have any pets but i do like to model.<|endoftext|>
140,what do you do for a living?,<|endoftext|>
141,i am a secretary like my mom hard living and you?, model cars. i do competitions<|endoftext|>
142,i am an author. i write short stories.,<|endoftext|>
143,do you want to write a story about a major meat eating bodybuilder?,<|endoftext|>
144,"how are you tonight, i just got back from hiking.",<|endoftext|>
145,"i am great! that is cool, i just got home from hunting.","hi, i'm doing great. what are your hobbies?<|endoftext|>"
146,"so we both like outdoors, i am in ohio.","i was just out walking my dogs and my sons, they love to do fun activities.<|endoftext|>"
147,i do like the outdoors... as well as restoring classic cars. i am in missouri.," ohio is great, i enjoy being outside in my free time.<|endoftext|>"
148,"when i am not in my office doing accounting, i am with my 2 boys.",what is your favorite car?<|endoftext|>
149,that is good. i work as a handyman for a company that rents properties.," 2 boys? that's cool, i work as an estate agent.<|endoftext|>"
150,"i wish i was handy, being a single mom and all.","interesting. i work at a car repair shop, but i am a son raising board member.<|endoftext|>"
151,i am a single parent as well. just me and my baby girl.,"hey, it happens. you can still do it. you just have to find the right person.<|endoftext|>"
152,"i would love a baby girl, it must be fun to go shopping?", i've 3 boys and i'm raising them on my own.<|endoftext|>
153,it is fun to go shopping for her,Baby girl is fun. but we are still young.<|endoftext|>
154,"do you buy a lot of girl things, or more neutral?", not much fun to do with all the kids.<|endoftext|>
155,she happens to like pink a lot..., neutral? what do you do for work?<|endoftext|>
156,"i like lavender, but the boys not so much.",neutral is what i would go with.<|endoftext|>
157,lol. i have bought neutral colored items for her but she likes girly clothes.,mm i would love to have a baby girl some day<|endoftext|>
158,hi trying to find some die hard ed sheeran fans., arts of martial arts.<|endoftext|>
159,"sorry, i do not like music, i like reading mystery books.", he's great. i read his novels. i'm a big hemey man.<|endoftext|>
160,"so do i, but i like the older mysteries like agatha christie.","hi, i am getting a degree in education.<|endoftext|>"
161,"growing up on a farm, you learn to read a lot more.",<|endoftext|>
162,"i can imagine, in fact i hope to teach english after school.",eds sheeran is a great author. what is your major?<|endoftext|>
163,"nice, my job is being a truck driver, i have seven kids to feed.",good luck with that. do you have any children?<|endoftext|>
164,"wow, you need a hobby to get away, like jujitsu or running.","yo, that's a lot of kids.<|endoftext|>"
165,"i like running, but i have no time.","Exactly, maybe i will get into it.<|endoftext|>"
166,well i sure can understand that. running does relieve stress though.," or, like martial arts.<|endoftext|>"
167,"it does, i like to wear my favorite color blue when i do run.",what is your favorite color?<|endoftext|>
168,when you have the time where do you run?,"cyan, not red.<|endoftext|>"
169,there is a local trail near my house in the mountains that i like.,"Around the holidays, when my family is not home.<|endoftext|>"
170,"sounds like heaven, i sure would love that!", which mountain? what is it called?<|endoftext|>
171,"yes, the peach and the quiet, it is heaven.",<|endoftext|>
172,better than this jujitsu i am trying to learn ugh!,Sounds great. i might try that.<|endoftext|>
173,"i bet it is hard, like karate.",<|endoftext|>
174,"hello, how are you tonight? are you a buckeyes fan?",<|endoftext|>
175,"hello, doing good thanks! no i am a wildcats fan lol",how are you doing tonight?<|endoftext|>
176,hmm. lol. as long as you are not a fan of that team up north., the only team i'm not a fan of is the packers.<|endoftext|>
177,no i ma not. go figure i am cats fan and allergic to cats lol.,haha i am not a fan of them either. i live in the south so i don't get to watch much sports<|endoftext|>
178,"i do not like cats, i am afraid of their saliva getting on me.", ahahah. i see. i am a lions fan.<|endoftext|>
179,agree. i live in a small town in kentucky., ll. i am also a bit of an artsy person... what do you do for fun?<|endoftext|>
180,i live in a small town in ohio., rural kentucky. i am in ohio. so not much going on here.<|endoftext|>
181,so we are semi close neighbors.," kentucky is a great place to live. it is very artsy, but i don't like the general atmosphere.<|endoftext|>"
182,seems like it. have you been to the rock hall?, less than 100 miles apart. lol.<|endoftext|>
183,no. i enjoy crafts and this new game that i am trying to learn., no i've not. i go to the art museum every year.<|endoftext|>
184,"i am a gamer as well, i love fallout.",<|endoftext|>
185,i live close to where daniel boone roamed.,<|endoftext|>
186,i am just under lake erie.,hesda games are awesome.<|endoftext|>
187,i have been to small town there called mansfield., browns country in ohio. it is so pretty.<|endoftext|>
188,you are right in my area. did you go to the prison?,<|endoftext|>
189,yes it was very nice to visit where the movie was made at.,"nah, i did not. i went to a rodeo instead.<|endoftext|>"
190,"good afternoon, how are you today?",<|endoftext|>
191,i am great. i am watching one tree hill. that is my favorite show,"hi, i am good. how are you?<|endoftext|>"
192,"very cool. i am watching a video of my favorite band, simple plan.","angela is the best show, she is the best.<|endoftext|>"
193,is it the video where they are wearing purple? best color ever,have you heard of that band? i love the band maroon five?<|endoftext|>
194,i was watching the other one actually.,"nah, just the band. i prefer the red.<|endoftext|>"
195,the one at the hospital? i am a nurse at a pediatric one,how do you feel about the weather? it is raining here.<|endoftext|>
196,i work at the animal shelter downtown.,<|endoftext|>
197,i do not believe in sheltering animals. i am a catholic,ah that's so sweet. i love animals.<|endoftext|>
198,sadly they need a home. we work hard to find them one.,what does that mean?<|endoftext|>
199,you could make them into a pizza. i love to eat pizza so i would buy,sadly i am not a catholic but feel bad for taking care of them.<|endoftext|>
200,i doubt that would go over well.,<|endoftext|>
201,why not? it sounds like a good plan,Especially since i'm eating italian<|endoftext|>
202,normally i am a crabby person but i have a soft spot for animals.,Catholicism is not a bad thing.<|endoftext|>
203,i only like to eat animals. they look funny, crabs are friends. love them<|endoftext|>
204,"hi, i am kera and i am a social butterfly", pets make good friends too.<|endoftext|>
205,hi. i am more the mousy type. numbers are my world at my day job. you?,"hi, i am lara and i am a country person.<|endoftext|>"
206,"i work for a tech firm, i am a tom girl","i just love to get out and run, and watch the leaves change color.<|endoftext|>"
207,i am just an ohio mom with two amazing sons. not married though., what do you do? and where?<|endoftext|>
208,cool. i have no kids just my pet turtle timothy,what do you do for fun?<|endoftext|>
209,"great pet name. i do not have any pets unless you count my car, sally.",Timothy is a great name. my son is also named timothy.<|endoftext|>
210,lol... so are you enjoy fall? i love it,i've a lizard named friend<|endoftext|>
211,yep. the leaves change here and it is beautiful. i like to hike in fall.,my son and i love nature walks in the woods. its so peaceful and quiet.<|endoftext|>
212,i am ready to wear my jeans and boots,what is your favorite season?<|endoftext|>
213,it is a great time of year for sure. do you have any hobbies?, your shoes will be great.<|endoftext|>
214,ultimate frisbee and making new friends. you?,running and watching the leaves change color.<|endoftext|>
215,too busy with the boys for much besides hiking., camping? i just had a great camping trip last week.<|endoftext|>
216,that means you are a good mom. spending all your time with them,hey man. that's life<|endoftext|>
217,being a single parent is not easy. thanks for the encouragement.,good for you. what kind of car do you drive??<|endoftext|>
218,hello there. how are you today?, now single.<|endoftext|>
219,oh i am so well! how are you my land friend?,i'm fine thanks. just got done with my daily brushing.<|endoftext|>
220,"great, thanks. getting ready to go to work, so my wife can spend it.",i am okay. just watching texas hold em. my favorite game.<|endoftext|>
221,"oh i spend most of my time at school, when i am not in the water.", what do you do for work?<|endoftext|>
222,i spend most of my time playing poker. i have triplets. they are everywhere.,what do you do for a living?<|endoftext|>
223,how sweet! do you live on land? i live way under the sea!,triplets? what are they like?<|endoftext|>
224,"unfortunately, i live on land. i am a boat builder, a carpenter.","Across from a lake, haha. i build houses.<|endoftext|>"
225,oh so you have legs and feet?,under the sea? what do you build?<|endoftext|>
226,i do. can i send my only girl to be a mermaid like you?,"Yep! you can build houses, but not with your legs. lol.<|endoftext|>"
227,well if you can find a sea hag to turn her into one.,sure! you can meet her and feel in tune with our creatures!<|endoftext|>
228,wonder if that is what my mother in law is?,how fun! i'll keep an eye out!<|endoftext|>
229,no mother in laws i hear are far worse.,Positive!!! she's a mermaid too!<|endoftext|>
230,they are. i have had two of them.,how bad is she?<|endoftext|>
231,you have two? do you have two wives?,how long have you two had them?<|endoftext|>
232,hi here i am in sunny california. where do you live?, physically attractive? you must be very attractive.<|endoftext|>
233,i live in florida but my family is from toronto,los angeles california. i've never been to the west coast. i live in the inland empire.<|endoftext|>
234,oh i see. moving to the east coast next year to the big apple., what do you do for a living?<|endoftext|>
235,cool. how old are you?,good job! i miss the snow. i am about to turn 40 and still live in a dorm.<|endoftext|>
236,now i am 23 and acting is my profession. also do a little runway modeling.,44 and i still love it here.<|endoftext|>
237,nice. i am 16 and i would like to be in the army,cool. i am still in school. computer science is my major. do you have any hobbies?<|endoftext|>
238,what do you do for fun? in california most do surfing.,<|endoftext|>
239,i like making websites and i drink a lot of lipton,so you are into computer science. i'm not sure what you mean.<|endoftext|>
240,you are too young for the army better look elsewhere.,<|endoftext|>
241,what type of job should i look at?,hey i am not that young either. i am still in school.<|endoftext|>
242,"websites are good for income, too. do you skate?", computer programming. it is not too bad.<|endoftext|>
243,i do! i play ice hockey sometimes,2 years out of school. i do not have time to skate.<|endoftext|>
244,i skate on ice and on the roller rinks too.,Lipton the puck.<|endoftext|>
245,can you do lots of tricks?,oh cool. i have always wanted to try<|endoftext|>
246,the only trick i can not do is sing.,hey can you? yeah i can do a lot of tricks.<|endoftext|>
247,can you play any instruments?, you sound talented. do you have a lot of friends?<|endoftext|>
248,hey how are you today,<|endoftext|>
249,"hello, my leg is really giving me pain today.","i am okay, but i wish i could get off work.<|endoftext|>"
250,i am sorry hope you feel better soon.,what happened to your leg?<|endoftext|>
251,thank you. what are you doing?, it is my chronic back pain.<|endoftext|>
252,getting ready to take my wife and kids to dinner, Frames. i need to put my kids to bed.<|endoftext|>
253,i am just about to cook dinner ; what will you order?, dinner? what kind of food?<|endoftext|>
254,i think my youngest son said he wanted pizza,a pizza. i love pizza. and some bread sticks.<|endoftext|>
255,i like pizza. do you let your son make the decisions?,<|endoftext|>
256,no we take turns it was his turn tonight.,he's too young to make those kinds of decisions<|endoftext|>
257,that is lucky for him.,good! i'm not married so it will be up to you to make the pizza.<|endoftext|>
258,yeah but we all like pizza so everyone is happy.,well it was nice talking to you<|endoftext|>
259,well that is nice that you all get along.,<|endoftext|>
260,yeah. what do you do for a living,i wish i could have helped him lol<|endoftext|>
261,"well, i ride show horses, but i am hoping to retire soon, you?",<|endoftext|>
262,i work as a carpenter and play poker for fun,what do you do for a living<|endoftext|>
263,that sounds fun! i have not played poker.,<|endoftext|>
264,"what music do you like, i enjoy bluegrass.",<|endoftext|>
265,i prefer pop music. i try to stay up with the trends.,i like all kinds of music. but i listen to a lot when i am alone.<|endoftext|>
266,skateboarding is my job at times and i am still pretty good, corey and charlie are the best. i also like the head and the heart.<|endoftext|>
267,"you skateboard professionally? wow, how exciting! lots of travel?", trends are changing. i prefer to be alone.<|endoftext|>
268,on weekends and i gave up eating potato chips to try to stay slim,i travel when i can. i've had surgery so i cannot do much.<|endoftext|>
269,what do you do for a living?,what do you do for work?<|endoftext|>
270,retired now after my tailbone was removed due to a birth defect.,"athlete, i had surgery a few months ago and i'm not looking for work now<|endoftext|>"
271,"oh my, and i thought my life was dramatic! do you have a family?",<|endoftext|>
272,pretty much alone now after leaving hollister where i worked in high school,i was preppy but i'm not looking forward to getting back in shape<|endoftext|>
273,"love is hard and hurtful. alone is best, i have found.",how old are you?<|endoftext|>
274,you speak of things so true and thanks for the positive talk,how is your day going?<|endoftext|>
275,my best friend betrayed me jerry springer style in high school and it still stings.,<|endoftext|>
276,oh i am so sorry people need prayer,"hi, i'm so sorry to hear that. i really am.<|endoftext|>"
277,so very true. i try to focus on my education instead of my heartache.,<|endoftext|>
278,hi there. i am a hair dresser. want to chat?,.. where do you work?<|endoftext|>
279,"hi, sure if you stop cutting womens hair so short","i would love to, but my girls and boy is allergic to my hair.<|endoftext|>"
280,"but i am so used to cutting hair short, i give my three dogs buzz cuts.",hey! how is your day going?<|endoftext|>
281,i am a chef and i can cook good but i am not happy about my weight.,"dogs? you have kids? i've two girls. they are cute, but i am boy and they are big.<|endoftext|>"
282,oh a chef can you make me a cheese pizza? i am starving!,"hi, i am a barber shop employee. can you help me?<|endoftext|>"
283,short hair is ok for guys and dogs but my husband hates it on women.,i can make you a pizza with cheese and sour cream.<|endoftext|>
284,i have short hair but i may grow it out for my fave holiday christmas.,what is your favorite food?<|endoftext|>
285,i can make 5 different kinds depending what cheese and toppings, your husband is not happy about your weight?<|endoftext|>
286,i just prefer a plain cheese pizza.,what is your favorite holiday? mine is christmas.<|endoftext|>
287,i have 3 hungry kids and a husband to cook for. luckily he works at night.,what is your favorite dish?<|endoftext|>
288,i would be so lonely if my husband was not here at night.,what is your favorite animal?<|endoftext|>
289,i am a chef during the day at work and again at home for the kids,hey you are lucky. lucky you.<|endoftext|>
290,how long have you been a chef?,<|endoftext|>
291,we like our schedule. that way we do not get tired of each other,Few years now.<|endoftext|>
292,that makes sense. all couples need alone time.,Fair enough.<|endoftext|>
293,10 years and people say i am an awesome cook. lots of repeat customers,Except my boy and my two daughters.<|endoftext|>
294,there are four people in my family. how about yours?,<|endoftext|>
295,just two right now and a siamese cat.," five pets, all children. i am retired now, but i had a good job in the bank.<|endoftext|>"
296,those are beautiful! i do not own any since i am in school., two cats sounds like fun. my parents and i have a sister and a brother.<|endoftext|>
297,"oh, i no longer work at the bank but for exercise walk a mile a day.", four people sounds like a lot. it is just me and my cat and my dog.<|endoftext|>
298,my idea of exercise is dancing while i listen to music i like.," bank teller, or just a hobby?<|endoftext|>"
299,better than walking alone. i also make quilts and give them away to family.,i love dancing. i sew blankets for my family.<|endoftext|>
300,that would be nice for someone like me. i am only five feet tall., quilt is nice. i've a friend who teaches art.<|endoftext|>
301,what is your major in school?,5 foot? that's tall. my family is quite small.<|endoftext|>
302,psychology. my one sibling and two parents are like strangers. i can pick their brains.,fine arts and design.<|endoftext|>
303,have your very own test subjects.,how interesting. i never got to meet any of them.<|endoftext|>
304,"yes, that is my thought exactly.","Yes, i've. it has been tough though. sometimes i've to go to therapy to forget.<|endoftext|>"
305,"well, got to go now.... see you.",how do you like the blankets? i sew them myself.<|endoftext|>
306,see you! time to go listen to that music i love.,goodbye.<|endoftext|>
307,okay going out to walk some more.,HEAD!!<|endoftext|>
308,hi! i drive a ford truck! what o you drive?,<|endoftext|>
309,i drive a toyota! what is your favorite band?,a ford! i love ford! i also love to exercise.<|endoftext|>
310,a christian rock band called p. o. d.,good question! i love all kinds of music. especially country. what kind of truck do you have?<|endoftext|>
311,i am still rocking to nirvana. i love animals!, that's awesome! i love all music!<|endoftext|>
312,that is cool! i grew up super conservative,"hello, how are you today?<|endoftext|>"
313,"my grandfather, all my uncles and my dad were police officers.",how about exercise? i love to exercise.<|endoftext|>
314,"my dad, who lives right down the street, is a police officer too!",mine are all now deceased. i believe in god<|endoftext|>
315,i have always wanted to be a cop. i work with animals.,<|endoftext|>
316,i love animals! since i grew up conservative i got to church every sunday,"dogs are the best, they're so loving and loving<|endoftext|>"
317,that is pretty sweet. i love making everyday sunday i cant get him off my mind.,<|endoftext|>
318,amen! what do you do for fun?,what do you do for fun?<|endoftext|>
319,"i like to run, create art, and take naps! how about you?",i like to exercise and listen to music.<|endoftext|>
320,naps are my favorite! i like to shoot guns and ride horses,i go to church and pray to god.<|endoftext|>
321,i want a ranch full of animals. i am getting hungry. i need to start making dinner.,<|endoftext|>
322,i was just thinking the same thing!,Sounds like fun! i'll start preparing.<|endoftext|>
323,what are you going to make? give me some ideas!!,how many horses do you have?<|endoftext|>
324,"hello there, how are you today?", do you have any pets?<|endoftext|>
325,just as fantastic as i possibly can be and yourself?,good. just working at the hospital.<|endoftext|>
326,i am doing so good thank you! lots of studying tonight for me.,"hello, good to hear. i'm a law student. do you have any pets?<|endoftext|>"
327,"what are you studying, may i ask?", what are you studying?<|endoftext|>
328,i am studying law currently. kind of a challenge but worth it!, law. a college degree.<|endoftext|>
329,cool i am in jail right now so can i ask you some questions?,what do you do for a living?<|endoftext|>
330,wow i am sorry to hear that. sure ask away.,"Sure, do you mind if i bring some of my law school homework?<|endoftext|>"
331,so i am here for selling sea monkeys like you see in comic books,what do you do for a living?<|endoftext|>
332,really? that sounds really interesting. how does that work?,do you have any pets?<|endoftext|>
333,what do you mean? i got convicted for mail fraud cuz sea monkeys do not exist,selling them would be difficult but i think it would be fun.<|endoftext|>
334,i always thought they were real! oh now i understand what happened.,what do you do in your free time?<|endoftext|>
335,"yes i thought they were real too, i got duped by my supplier",i'm just making an educated guess at this point.<|endoftext|>
336,your lawyer should have helped you. we did not learn much about fraud yet.,how did you know that?<|endoftext|>
337,yeah i had this tiny little nun public defender she slapped witnesses with a ruler!,Yeah i wish i could have helped you.<|endoftext|>
338,that is disappointing. sorry my dog max was talking to me.,how big was the prison? biggest in the country?<|endoftext|>
339,next thing i know i am peeling onions and my cell mates cat is pissing on my bunk!,hey whats your favorite movie?<|endoftext|>
340,hi how are you doing?,<|endoftext|>
341,i am well an you? like dogs.,"barsber shop, that's what i do, that's what i do, that is what i do, that is what i do,<|endoftext|>"
342,yes i have 2 german shepards, i like dogs but i don't have any<|endoftext|>
343,names? i have 3 dogs,what are their names?<|endoftext|>
344,i have a boy and a girl diesel and nala,"nope not for me, i like to keep busy i just had a house sell today<|endoftext|>"
345,awe how old are they?, diesel is a diesel. i also have a cat named snow ball.<|endoftext|>
346,26 where did you go to school i attended university of mississippi,9 and 10 years old<|endoftext|>
